總類,起始,結束,版本
C,1F4FF,1F4FF,8.0
C,1F500,1F53D,6.0
C,1F53E,1F53F,7.0
C,1F540,1F543,6.1
C,1F544,1F54A,7.0
C,1F54B,1F54F,8.0
C,1F550,1F567,6.0
C,1F568,1F579,7.0
C,1F57A,1F57A,9.0
C,1F57B,1F5A3,7.0
C,1F5A4,1F5A4,9.0
C,1F5A5,1F5FA,7.0
C,1F5FB,1F5FF,6.0
C,1F600,1F600,6.1
C,1F601,1F610,6.0
C,1F611,1F611,6.1
C,1F612,1F614,6.0
C,1F615,1F615,6.1
C,1F616,1F616,6.0
C,1F617,1F617,6.1
C,1F618,1F618,6.0
C,1F619,1F619,6.1
C,1F61A,1F61A,6.0
C,1F61B,1F61B,6.1
C,1F61C,1F61E,6.0
C,1F61F,1F61F,6.1
C,1F620,1F625,6.0
C,1F626,1F627,6.1
C,1F628,1F62B,6.0
C,1F62C,1F62C,6.1
C,1F62D,1F62D,6.0
C,1F62E,1F62F,6.1
C,1F630,1F633,6.0
C,1F634,1F634,6.1
C,1F635,1F640,6.0
C,1F641,1F642,7.0
C,1F643,1F644,8.0
C,1F645,1F64F,6.0
C,1F650,1F67F,7.0
C,1F680,1F6C5,6.0
C,1F6C6,1F6CF,7.0
C,1F6D0,1F6D0,8.0
C,1F6D1,1F6D2,9.0
C,1F6D3,1F6D4,10.0
C,1F6D5,1F6D5,12.0
R,1F6D6,1F6DF,0
C,1F6E0,1F6EC,7.0
R,1F6ED,1F6EF,0
C,1F6F0,1F6F3,7.0
C,1F6F4,1F6F6,9.0
C,1F6F7,1F6F8,10.0
C,1F6F9,1F6F9,11.0
C,1F6FA,1F6FA,12.0
R,1F6FB,1F6FF,0
C,1F700,1F773,6.0
R,1F774,1F77F,0
C,1F780,1F7D4,7.0
C,1F7D5,1F7D8,11.0
R,1F7D9,1F7DF,0
C,1F7E0,1F7EB,12.0
R,1F7EC,1F7FF,0
C,1F800,1F80B,7.0
R,1F80C,1F80F,0
C,1F810,1F847,7.0
R,1F848,1F84F,0
C,1F850,1F859,7.0
R,1F85A,1F85F,0
C,1F860,1F887,7.0
R,1F888,1F88F,0
C,1F890,1F8AD,7.0
R,1F8AE,1F8FF,0
C,1F900,1F90B,10.0
R,1F90C,1F90C,0
C,1F90D,1F90F,12.0
C,1F910,1F918,8.0
C,1F919,1F91E,9.0
C,1F91F,1F91F,10.0
C,1F920,1F927,9.0
C,1F928,1F92F,10.0
C,1F930,1F930,9.0
C,1F931,1F932,10.0
C,1F933,1F93E,9.0
C,1F93F,1F93F,12.0
C,1F940,1F94B,9.0
C,1F94C,1F94C,10.0
C,1F94D,1F94F,11.0
C,1F950,1F95E,9.0
C,1F95F,1F96B,10.0
C,1F96C,1F970,11.0
C,1F971,1F971,12.0
R,1F972,1F972,0
C,1F973,1F976,11.0
R,1F977,1F979,0
C,1F97A,1F97A,11.0
C,1F97B,1F97B,12.0
C,1F97C,1F97F,11.0
C,1F980,1F984,8.0
C,1F985,1F991,9.0
C,1F992,1F997,10.0
C,1F998,1F9A2,11.0
R,1F9A3,1F9A4,0
C,1F9A5,1F9AA,12.0
R,1F9AB,1F9AD,0
C,1F9AE,1F9AF,12.0
C,1F9B0,1F9B9,11.0
C,1F9BA,1F9BF,12.0
C,1F9C0,1F9C0,8.0
C,1F9C1,1F9C2,11.0
C,1F9C3,1F9CA,12.0
R,1F9CB,1F9CC,0
C,1F9CD,1F9CF,12.0
C,1F9D0,1F9E6,10.0
C,1F9E7,1F9FF,11.0
C,1FA00,1FA53,12.0
R,1FA54,1FA5F,0
C,1FA60,1FA6D,11.0
R,1FA6E,1FA6F,0
C,1FA70,1FA73,12.0
R,1FA74,1FA77,0
C,1FA78,1FA7A,12.0
R,1FA7B,1FA7F,0
C,1FA80,1FA82,12.0
R,1FA83,1FA8F,0
C,1FA90,1FA95,12.0
R,1FA96,1FFFD,0
N,1FFFE,1FFFF,2.0
C,20000,2A6D6,3.1
R,2A6D7,2A6FF,0
C,2A700,2B734,5.2
R,2B735,2B73F,0
C,2B740,2B81D,6.0
R,2B81E,2B81F,0
C,2B820,2CEA1,8.0
R,2CEA2,2CEAF,0
C,2CEB0,2EBE0,10.0
R,2EBE1,2F7FF,0
C,2F800,2FA1D,3.1
R,2FA1E,2FFFD,0
N,2FFFE,2FFFF,2.0
R,30000,3FFFD,0
N,3FFFE,3FFFF,2.0
R,40000,4FFFD,0
N,4FFFE,4FFFF,2.0
R,50000,5FFFD,0
N,5FFFE,5FFFF,2.0
R,60000,6FFFD,0
N,6FFFE,6FFFF,2.0
R,70000,7FFFD,0
N,7FFFE,7FFFF,2.0
R,80000,8FFFD,0
N,8FFFE,8FFFF,2.0
R,90000,9FFFD,0
N,9FFFE,9FFFF,2.0
R,A0000,AFFFD,0
N,AFFFE,AFFFF,2.0
R,B0000,BFFFD,0
N,BFFFE,BFFFF,2.0
R,C0000,CFFFD,0
N,CFFFE,CFFFF,2.0
R,D0000,DFFFD,0
N,DFFFE,DFFFF,2.0
R,E0000,E0000,0
C,E0001,E0001,3.1
R,E0002,E001F,0
C,E0020,E007F,3.1
R,E0080,E00FF,0
C,E0100,E01EF,4.0
R,E01F0,EFFFD,0
N,EFFFE,EFFFF,2.0
C,F0000,FFFFD,2.0
N,FFFFE,FFFFF,2.0
C,100000,10FFFD,2.0
N,10FFFE,10FFFF,2.0
