總類,起始,結束,版本
R,0D11,0D11,0
C,0D12,0D28,1.1
C,0D29,0D29,6.0
C,0D2A,0D39,1.1
C,0D3A,0D3A,6.0
C,0D3B,0D3C,10.0
C,0D3D,0D3D,5.1
C,0D3E,0D43,1.1
C,0D44,0D44,5.1
R,0D45,0D45,0
C,0D46,0D48,1.1
R,0D49,0D49,0
C,0D4A,0D4D,1.1
C,0D4E,0D4E,6.0
C,0D4F,0D4F,9.0
R,0D50,0D53,0
C,0D54,0D56,9.0
C,0D57,0D57,1.1
C,0D58,0D5E,9.0
C,0D5F,0D5F,8.0
C,0D60,0D61,1.1
C,0D62,0D63,5.1
R,0D64,0D65,0
C,0D66,0D6F,1.1
C,0D70,0D75,5.1
C,0D76,0D78,9.0
C,0D79,0D7F,5.1
R,0D80,0D81,0
C,0D82,0D83,3.0
R,0D84,0D84,0
C,0D85,0D96,3.0
R,0D97,0D99,0
C,0D9A,0DB1,3.0
R,0DB2,0DB2,0
C,0DB3,0DBB,3.0
R,0DBC,0DBC,0
C,0DBD,0DBD,3.0
R,0DBE,0DBF,0
C,0DC0,0DC6,3.0
R,0DC7,0DC9,0
C,0DCA,0DCA,3.0
R,0DCB,0DCE,0
C,0DCF,0DD4,3.0
R,0DD5,0DD5,0
C,0DD6,0DD6,3.0
R,0DD7,0DD7,0
C,0DD8,0DDF,3.0
R,0DE0,0DE5,0
C,0DE6,0DEF,7.0
R,0DF0,0DF1,0
C,0DF2,0DF4,3.0
R,0DF5,0E00,0
C,0E01,0E3A,1.1
R,0E3B,0E3E,0
C,0E3F,0E5B,1.1
R,0E5C,0E80,0
C,0E81,0E82,1.1
R,0E83,0E83,0
C,0E84,0E84,1.1
R,0E85,0E85,0
C,0E86,0E86,12.0
C,0E87,0E88,1.1
C,0E89,0E89,12.0
C,0E8A,0E8A,1.1
R,0E8B,0E8B,0
C,0E8C,0E8C,12.0
C,0E8D,0E8D,1.1
C,0E8E,0E93,12.0
C,0E94,0E97,1.1
C,0E98,0E98,12.0
C,0E99,0E9F,1.1
C,0EA0,0EA0,12.0
C,0EA1,0EA3,1.1
R,0EA4,0EA4,0
C,0EA5,0EA5,1.1
R,0EA6,0EA6,0
C,0EA7,0EA7,1.1
C,0EA8,0EA9,12.0
C,0EAA,0EAB,1.1
C,0EAC,0EAC,12.0
C,0EAD,0EB9,1.1
C,0EBA,0EBA,12.0
C,0EBB,0EBD,1.1
R,0EBE,0EBF,0
C,0EC0,0EC4,1.1
R,0EC5,0EC5,0
C,0EC6,0EC6,1.1
R,0EC7,0EC7,0
C,0EC8,0ECD,1.1
R,0ECE,0ECF,0
C,0ED0,0ED9,1.1
R,0EDA,0EDB,0
C,0EDC,0EDD,1.1
C,0EDE,0EDF,6.1
R,0EE0,0EFF,0
C,0F00,0F47,2.0
R,0F48,0F48,0
C,0F49,0F69,2.0
C,0F6A,0F6A,3.0
C,0F6B,0F6C,5.1
R,0F6D,0F70,0
C,0F71,0F8B,2.0
C,0F8C,0F8F,6.0
C,0F90,0F95,2.0
C,0F96,0F96,3.0
C,0F97,0F97,2.0
R,0F98,0F98,0
C,0F99,0FAD,2.0
C,0FAE,0FB0,3.0
C,0FB1,0FB7,2.0
C,0FB8,0FB8,3.0
C,0FB9,0FB9,2.0
C,0FBA,0FBC,3.0
